		;		int		id		+		-		num		=		if		(		)		{		}		else		true		false		do		while		#		P		ST		D		S		A		G		T		L		E		F		B		
0				S4		S5						S7																										1				2								3						6				
1																																				acc																								
2						S9																																						8																
3						S11																																														10								
4						R3																																																						
5						R9																																																						
6						R8																																																						
7						R10																																																						
8																S13																														12														
9														S14																																														
10		S15																																																										
11		R4																																																										
12																																S17																16												
13																		S18																																										
14				S20		S21						S24																																						19				22		23				
15						R2																																																						
16																																				R1																								
17																						S25																																						
18																												S27		S28																												26		
19		R7						R7		R7																																																		
20		R3						R3		R3																																																		
21		R9						R9		R9																																																		
22		S29						S30		S31																																																		
23		R8						R8		R8																																																		
24		R10						R10		R10																																																		
25						S33																																						32																
26																				S34																																								
27																				R13																																								
28																				R14																																								
29																R11																																												
30				S20		S21						S24																																						35						23				
31				S20		S21						S24																																						36						23				
32																								S37																																				
33														S38																																														
34																						S39																																						
35		R5						R5		R5																																																		
36		R6						R6		R6																																																		
37																																		S40																										
38				S20		S21						S24																																						19				41		23				
39						S33																																						42																
40																		S43																																										
41		S44						S30		S31																																																		
42																								S45																																				
43																												S27		S28																												46		
44																								R11																																				
45																										S47																																		
46																				S48																																								
47																						S49																																						
48		S50																																																										
49						S33																																						51																
50																																				R15																								
51																								S52																																				
52																																R12																												
