		;		int		float		double		id		=		+		*		-		(		)		num		#		P		ST		D		S		T		L		E		
0				S4		S5		S6																				1				2				3						
1																										acc																
2				S4		S5		S6																								7				8						
3										S10																												9				
4										R3																																
5										R4																																
6										R5																																
7										S12																								11								
8										S10																												13				
9		S14																																								
10		R6																																								
11										S16																								15								
12												S17																														
13		S18																																								
14				R2		R2		R2																																		
15																										R1																
16												S19																														
17										S20								S22		S23				S24																21		
18										R2																																
19										S20								S22		S23				S24																25		
20		R12												R12		R12																										
21		S26												S27		S28																										
22										S20								S22		S23				S24																29		
23										S30								S32		S33				S34																31		
24		R13												R13		R13																										
25		S35												S27		S28																										
26										R7																																
27										S20								S22		S23				S24																36		
28										S20								S22		S23				S24																37		
29		R10												S27		S28																										
30														R12		R12						R12																				
31														S38		S39						S40																				
32										S30								S32		S33				S34																41		
33										S30								S32		S33				S34																42		
34														R13		R13						R13																				
35																										R7																
36		R8												S27		S28																										
37		R9												S27		S28																										
38										S30								S32		S33				S34																43		
39										S30								S32		S33				S34																44		
40		R11												R11		R11																										
41														S38		S39						R10																				
42														S38		S39						S45																				
43														S38		S39						R8																				
44														S38		S39						R9																				
45														R11		R11						R11																				
